13765	S	D	
13774	S	D	
13811	AB	D	
14138	AW	D	
14930	S	D	
15161	AM	D	
15835	S	D	
16490	O	F	
16607	S	D	
16859	AB	D	
17162	S	D	
17636	AG	D	
17642	AG	D	
20024	A	J	
20043	AY	D	
20047	AY	D	
20056	O	J	
20083	A	J	
20088	O	F	
20094	O	F	
20123	S	J	
20134	S	*	
20221	S	J	
20312	S	C	
20318	AW	C	
20329	O	F	
20332	S	J	
20365	S	J	
20399	AL	J	
20426	S	D	
20431	S	C	
20445	S	J	
20446	S	C	
20447	S	C	
20486	O	F	
20491	O	F	
20505	AL	J	
20521	S	C	
20525	AW	C	
20547	AW	D	
20556	AG	J	
20559	S	C	F
20599	S	C	
20608	O	F	
20625	S	C	
20633	S	C	
20653	S	DJ	
20661	O	F	
20667	S	F	
20693	AL	J	
20744	O	F	
20754	AN	J	
20778	S	C	
20791	S	DC	
20805	S	C	
20812	SS	J@5151	
20841	O	F	
20843	A	J	
20844	S	*	
20846	S	J	
20871	S	J	
20881	S	J	
20925	A	J	
20939	S	DJ	
20940	S	D	
20955	S	D	
20956	S	C	F
20957	S	J	
20998	S	K	
21009	S	*	
21034	O	F	
21047	O	F	
21066	S	J	
21069	S	J	
21070	O	F	
21083	O	F	
21084	S	DJ	
21098	S	C	
21117	S	J	
21130	O	F	
21133	O	F	
21137	S	D	
21152	A	J	
21155	S	J	
21162	AW	C	
21215	AG	J	F
21220	O	F	
21237	AG	DJ	
21240	O	F	
21270	S	J	
21271	S	J	
21273	S	J	
21310	O	F	
21311	AG	D	
21369	O	F	
21407	A	J	
21417	S	C	
21421	S	J	
21424	O	F	
21426	AG	D	
21443	O	F	
21450	S	C	
21453	S	C	
21467	S	C	
21471	S	DC	
21478	S	J	
21485	S	J	
21536	A	J	
21545	S	J	
21555	A	C	
21557	S	J	
21560	S	C	
21574	S	J	
21578	S	D	
21602	S	J	
21608	S	DJ	
21622	AW	J	
21672	S	C	
21674	S	J	
21682	AL	C	
21698	O	F	
21704	A	J	
21710	AG	C	
21722	S	J	
21736	S	C	
21766	S	D	
21769	AL	C	
21790	O	F	
21804	O	F	
21811	S	C	
21815	S	C	
21822	AG	J	
21825	S	J	
21827	S	J	
21855	S	C	F
21865	O	F	
21867	O	F	
21873	O	F	
21874	O	F	
21891	S	J	F
21895	O	F	
21897	AL	J	
21899	S	J	
21904	S	J	
21914	AL	DJ	
21919	S	F	
21930	O	F	
21932	O	F	
21934	O	F	
21938	O	F	
21939	A	C	
21947	S	C	
21957	AL	J	F
21959	O	F	
21966	O	F	
21971	S	J	
21985	S	*	
21987	O	F	
21988	S	C	
22000	O	F	
22001	O	F	
22013	O	F	
22014	AL	C	
22021	O	F	
22029	AW	DJ	
22036	O	F	
22043	S	C	
22046	O	F	
22050	O	F	
22053	O	F	
22057	AG	J	
22061	O	F	
22063	S	D	
22079	O	F	
22083	O	F	
22095	O	F	
22103	AL	J	
22114	AL	J	F
22116	S	J	
22117	O	F	
22122	S	J	
22124	AB	J	
22127	S	J	
22136	O	F	
22149	AN	J	
22151	S	D	
22162	S	C	
22175	O	F	
22177	O	F	
22180	S	C	F
22184	S	C	
22198	AW	C	
22208	O	F	
22216	S	C	
22217	O	F	
22220	AG	J	
22225	O	F	
22280	O	F	
22283	O	F	
22290	O	F	
22294	O	F	
22296	O	F	
22334	S	C	
22343	A	DJ	
22396	A	J	
22402	AG	J	
22411	S	*	
22467	AL	C	
22561	S	J	
22576	AW	D	
22602	O	F	
22604	O	F	
22612	AG	C	
22615	S	C	
22635	O	F	
22656	AN	J	F
22675	AG	J	
22686	O	F	
22702	S	J	
22718	O	F	
22727	O	F	
22739	S	J	
22745	S	D	
22748	AN	C	
22750	O	F	
22751	S	C	
22752	S	C	
22761	AN	F	
22779	S	J	
22799	S	J	
22826	A	J	
22830	S	J	
22856	S	J	
22863	AL	D	
22864	AL	D	
22865	AL	K	
22869	S	C	*
22872	AL	J	
22874	AL	C	
22880	AL	DC	
22887	A	DJ	
22889	O	F	
22899	AW	C	
22900	AW	C	
22902	AW	C	
22904	AW	C	
22905	AW	DJ	
22909	AW	C	
22914	AW	C	
22915	AW	C	
22916	AW	DJ	
22922	AW	DJ	
22925	S	J	*
22926	AW	C	
22927	AW	C	
22928	AW	C	
22930	S	C	
22931	AW	DJ	
22934	AW	DJ	
22935	AW	C	
22937	S	DJ	
22941	AW	C	
22942	AW	D	
22945	AW	C	
22946	AW	C	
22947	AW	D	
22948	AW	DJ	
22949	AW	J	
22951	AW	C	
22952	AW	C	
22956	AW	J	F
22958	S	DJ	
22959	AW	J	
22963	AW	J	
22969	AW	J	
22971	AW	J	
22974	AW	C	
22982	AW	C	
22985	AW	D	
22986	AW	J	
22987	AW	C	
22989	AW	J	F
22992	AW	J	
22993	AW	J	
22994	AW	J	
22995	AW	J	
22996	AW,AL	C	
23000	S	C	*
23002	AW	C	
23004	AW	C	
23011	AW	C	
23013	S	J	
23014	AW	C	
23016	AW	C	
23018	AW	C	
23019	AW	C	
23020	AW	C	
23032	S	J	F
23033	AW	C	
23035	AW	C	
